culture;conduite;variete_n;action;semaine_debut;semaine_fin;mois_debut;mois_fin;commentaire
Ail d'automne sec;PC;1;Conservation;1;9;janvier;février;
Ail d'automne sec;PC;1;Récolte;24;28;juin;juillet;
Ail d'automne sec;PC;1;Conservation;30;39;juillet;septembre;
Ail d'automne sec;PC;1;Plantation;39;44;septembre;octobre;
Ail d'automne sec;PC;1;Conservation;44;52;octobre;décembre;
Ail d'automne sec;PC;2;Conservation;1;9;janvier;février;
Ail d'automne sec;PC;2;Récolte;26;30;juin;juillet;
Ail d'automne sec;PC;2;Conservation;32;44;août;octobre;
Ail d'automne sec;PC;2;Plantation;44;48;octobre;novembre;
Ail d'automne sec;PC;2;Conservation;48;52;novembre;décembre;
Ail d'automne vert;PC;1;Récolte;15;22;avril;mai;
Ail d'automne vert;PC;1;Plantation;44;48;octobre;novembre;
Ail d'automne vert;SA;1;Récolte;11;17;mars;avril;
Ail d'automne vert;SA;1;Plantation;44;48;octobre;novembre;
Ail de printemps sec;PC;1;Conservation;1;2;janvier;janvier;
Ail de printemps sec;PC;1;Plantation;2;7;janvier;février;
Ail de printemps sec;PC;1;Conservation;7;9;février;février;
Ail de printemps sec;PC;1;Récolte;28;33;juillet;août;
Ail de printemps sec;PC;1;Conservation;35;52;août;décembre;
Ail de printemps vert;PC;1;Plantation;2;7;janvier;février;
Ail de printemps vert;PC;1;Récolte;19;24;mai;juin;
Ail de printemps vert;SA;1;Plantation;2;7;janvier;février;
Ail de printemps vert;SA;1;Récolte;17;22;avril;mai;
Aubergine;PC;1;Semis en pot/plant;7;9;février;février;
Aubergine;PC;1;Plantation;17;19;avril;mai;
Aubergine;PC;1;Récolte;30;42;juillet;octobre;
Aubergine;PC;2;Semis en pot/plant;9;11;février;mars;
Aubergine;PC;2;Plantation;19;21;mai;mai;
Aubergine;PC;2;Récolte;32;42;août;octobre;
Aubergine;SA;1;Semis en pot/plant;3;5;janvier;janvier;Porte greffe recquis
Aubergine;SA;1;Plantation;13;15;mars;avril;Porte greffe recquis
Aubergine;SA;1;Récolte;24;42;juin;octobre;Porte greffe recquis
Aubergine;SA;2;Semis en pot/plant;5;7;janvier;février;
Aubergine;SA;2;Plantation;15;17;avril;avril;
Aubergine;SA;2;Récolte;26;42;juin;octobre;
Aubergine;SA;3;Semis en pot/plant;7;9;février;février;
Aubergine;SA;3;Plantation;17;19;avril;mai;
Aubergine;SA;3;Récolte;28;42;juillet;octobre;
Basilic;SA;1;Semis en pot/plant;11;13;mars;mars;Variétés de vigueurs différentes pour étaler les récoltes
Basilic;SA;1;Plantation;15;17;avril;avril;Variétés de vigueurs différentes pour étaler les récoltes
Basilic;SA;1;Récolte;22;24;mai;juin;Variétés de vigueurs différentes pour étaler les récoltes
Basilic;SA;1;Récolte;26;28;juin;juillet;Variétés de vigueurs différentes pour étaler les récoltes
Basilic;SA;1;Récolte;30;32;juillet;août;Variétés de vigueurs différentes pour étaler les récoltes
Basilic;SA;2;Semis en pot/plant;13;15;mars;avril;Récolter ou tailler toutes les 4 semaines pour avoir plusieurs récoltes
Basilic;SA;2;Plantation;17;19;avril;mai;Récolter ou tailler toutes les 4 semaines pour avoir plusieurs récoltes
Basilic;SA;2;Récolte;24;26;juin;juin;Récolter ou tailler toutes les 4 semaines pour avoir plusieurs récoltes
Basilic;SA;2;Récolte;28;30;juillet;juillet;Récolter ou tailler toutes les 4 semaines pour avoir plusieurs récoltes
Basilic;SA;2;Récolte;32;34;août;août;Récolter ou tailler toutes les 4 semaines pour avoir plusieurs récoltes
Basilic;SA;3;Semis en pot/plant;17;19;avril;mai;
Basilic;SA;3;Plantation;20;22;mai;mai;
Basilic;SA;3;Récolte;26;28;juin;juillet;
Basilic;SA;3;Récolte;30;32;juillet;août;
Basilic;SA;3;Récolte;34;36;août;septembre;
Basilic;SA;4;Semis en pot/plant;19;21;mai;mai;
Basilic;SA;4;Plantation;22;24;mai;juin;
Basilic;SA;4;Récolte;28;30;juillet;juillet;
Basilic;SA;4;Récolte;32;34;août;août;
Basilic;SA;4;Récolte;36;38;septembre;septembre;
Basilic;SA;5;Semis en pot/plant;21;23;mai;juin;
Basilic;SA;5;Plantation;24;26;juin;juin;
Basilic;SA;5;Récolte;30;32;juillet;août;
Basilic;SA;5;Récolte;34;36;août;septembre;
Basilic;SA;5;Récolte;38;40;septembre;octobre;
Basilic;SA;6;Semis en pot/plant;23;25;juin;juin;
Basilic;SA;6;Plantation;26;28;juin;juillet;
Basilic;SA;6;Récolte;32;34;août;août;
Basilic;SA;6;Récolte;36;38;septembre;septembre;
Basilic;SA;6;Récolte;40;42;octobre;octobre;
Basilic;SA;7;Semis en pot/plant;25;27;juin;juillet;
Basilic;SA;7;Plantation;28;30;juillet;juillet;
Basilic;SA;7;Récolte;34;36;août;septembre;
Basilic;SA;7;Récolte;38;40;septembre;octobre;
Basilic;SA;7;Récolte;42;44;octobre;octobre;
Betterave botte;PC;1;Semis en pot/plant;8;10;février;mars;Variétés précoces
Betterave botte;PC;1;Plantation;11;13;mars;mars;Variétés précoces
Betterave botte;PC;1;Récolte;22;26;mai;juin;Variétés précoces
Betterave botte;PC;2;Semis en pot/plant;10;12;mars;mars;Variétés précoces
Betterave botte;PC;2;Plantation;13;15;mars;avril;Variétés précoces
Betterave botte;PC;2;Récolte;23;27;juin;juillet;Variétés précoces
Betterave botte;PC;3;Semis en pot/plant;12;14;mars;avril;Variétés précoces, de saison et tardives
Betterave botte;PC;3;Plantation;15;17;avril;avril;Variétés précoces, de saison et tardives
Betterave botte;PC;3;Récolte;25;31;juin;juillet;Variétés précoces, de saison et tardives
Betterave botte;PC;4;Semis en pot/plant;14;16;avril;avril;Variétés précoces, de saison et tardives
Betterave botte;PC;4;Plantation;17;19;avril;mai;Variétés précoces, de saison et tardives
Betterave botte;PC;4;Récolte;27;33;juillet;août;Variétés précoces, de saison et tardives
