culture;conduite;variete_n;action;semaine_debut;semaine_fin;mois_debut;mois_fin;commentaire
Ail d'automne sec;PC;1;Conservation;1;9;janvier;février;
Ail d'automne sec;PC;1;Récolte;24;28;juin;juillet;
Ail d'automne sec;PC;1;Conservation;30;39;juillet;septembre;
Ail d'automne sec;PC;1;Travail du sol;38;38;septembre;septembre;Ameublir, décompacter et affiner la planche avant plantation.
Ail d'automne sec;PC;1;Apport de compost;38;38;septembre;septembre;Compost bien décomposé seulement (pas de matière organique fraîche), sur la planche fraîchement travaillée.
Ail d'automne sec;PC;1;Paillage;38;38;septembre;septembre;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Ail d'automne sec;PC;1;Plantation;39;44;septembre;octobre;
Ail d'automne sec;PC;1;Conservation;44;52;octobre;décembre;
Ail d'automne sec;PC;2;Conservation;1;9;janvier;février;
Ail d'automne sec;PC;2;Récolte;26;30;juin;juillet;
Ail d'automne sec;PC;2;Conservation;32;44;août;octobre;
Ail d'automne sec;PC;2;Travail du sol;43;43;octobre;octobre;Ameublir, décompacter et affiner la planche avant plantation.
Ail d'automne sec;PC;2;Apport de compost;43;43;octobre;octobre;Compost bien décomposé seulement (pas de matière organique fraîche), sur la planche fraîchement travaillée.
Ail d'automne sec;PC;2;Paillage;43;43;octobre;octobre;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Ail d'automne sec;PC;2;Plantation;44;48;octobre;novembre;
Ail d'automne sec;PC;2;Conservation;48;52;novembre;décembre;
Ail d'automne vert;PC;1;Récolte;15;22;avril;mai;
Ail d'automne vert;PC;1;Travail du sol;43;43;octobre;octobre;Ameublir, décompacter et affiner la planche avant plantation.
Ail d'automne vert;PC;1;Apport de compost;43;43;octobre;octobre;Compost bien décomposé seulement (pas de matière organique fraîche), sur la planche fraîchement travaillée.
Ail d'automne vert;PC;1;Paillage;43;43;octobre;octobre;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Ail d'automne vert;PC;1;Plantation;44;48;octobre;novembre;
Ail d'automne vert;SA;1;Récolte;11;17;mars;avril;
Ail d'automne vert;SA;1;Travail du sol;43;43;octobre;octobre;Ameublir, décompacter et affiner la planche avant plantation.
Ail d'automne vert;SA;1;Apport de compost;43;43;octobre;octobre;Compost bien décomposé seulement (pas de matière organique fraîche), sur la planche fraîchement travaillée.
Ail d'automne vert;SA;1;Paillage;43;43;octobre;octobre;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Ail d'automne vert;SA;1;Plantation;44;48;octobre;novembre;
Ail de printemps sec;PC;1;Conservation;1;2;janvier;janvier;
Ail de printemps sec;PC;1;Travail du sol;1;1;janvier;janvier;Ameublir, décompacter et affiner la planche avant plantation.
Ail de printemps sec;PC;1;Apport de compost;1;1;janvier;janvier;Compost bien décomposé seulement (pas de matière organique fraîche), sur la planche fraîchement travaillée.
Ail de printemps sec;PC;1;Paillage;1;1;janvier;janvier;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Ail de printemps sec;PC;1;Plantation;2;7;janvier;février;
Ail de printemps sec;PC;1;Conservation;7;9;février;février;
Ail de printemps sec;PC;1;Récolte;28;33;juillet;août;
Ail de printemps sec;PC;1;Conservation;35;52;août;décembre;
Ail de printemps vert;PC;1;Travail du sol;1;1;janvier;janvier;Ameublir, décompacter et affiner la planche avant plantation.
Ail de printemps vert;PC;1;Apport de compost;1;1;janvier;janvier;Compost bien décomposé seulement (pas de matière organique fraîche), sur la planche fraîchement travaillée.
Ail de printemps vert;PC;1;Paillage;1;1;janvier;janvier;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Ail de printemps vert;PC;1;Plantation;2;7;janvier;février;
Ail de printemps vert;PC;1;Récolte;19;24;mai;juin;
Ail de printemps vert;SA;1;Travail du sol;1;1;janvier;janvier;Ameublir, décompacter et affiner la planche avant plantation.
Ail de printemps vert;SA;1;Apport de compost;1;1;janvier;janvier;Compost bien décomposé seulement (pas de matière organique fraîche), sur la planche fraîchement travaillée.
Ail de printemps vert;SA;1;Paillage;1;1;janvier;janvier;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Ail de printemps vert;SA;1;Plantation;2;7;janvier;février;
Ail de printemps vert;SA;1;Récolte;17;22;avril;mai;
Aubergine;PC;1;Semis en pot/plant;7;9;février;février;
Aubergine;PC;1;Travail du sol;16;16;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.
Aubergine;PC;1;Apport de fumier;16;16;avril;avril;Fumier ou compost riche (culture gourmande en azote), sur la planche fraîchement travaillée.
Aubergine;PC;1;Paillage;16;16;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Aubergine;PC;1;Plantation;17;19;avril;mai;
Aubergine;PC;1;Récolte;30;42;juillet;octobre;
Aubergine;PC;2;Semis en pot/plant;9;11;février;mars;
Aubergine;PC;2;Travail du sol;18;18;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.
Aubergine;PC;2;Apport de fumier;18;18;avril;avril;Fumier ou compost riche (culture gourmande en azote), sur la planche fraîchement travaillée.
Aubergine;PC;2;Paillage;18;18;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Aubergine;PC;2;Plantation;19;21;mai;mai;
Aubergine;PC;2;Récolte;32;42;août;octobre;
Aubergine;SA;1;Semis en pot/plant;3;5;janvier;janvier;Porte greffe recquis
Aubergine;SA;1;Travail du sol;12;12;mars;mars;Ameublir, décompacter et affiner la planche avant plantation.
Aubergine;SA;1;Apport de fumier;12;12;mars;mars;Fumier ou compost riche (culture gourmande en azote), sur la planche fraîchement travaillée.
Aubergine;SA;1;Paillage;12;12;mars;mars;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Aubergine;SA;1;Plantation;13;15;mars;avril;Porte greffe recquis
Aubergine;SA;1;Récolte;24;42;juin;octobre;Porte greffe recquis
